rank,name,version,downloads,kind,baseline_build_secs,slicer_build_secs,speedup,status
2252,array-bytes,9.3.0,12599760,lib,8.94,4.68,1.91,both_built
2253,cpal,0.17.3,12590067,lib,11.52,11.05,1.043,both_built
2254,urlpattern,0.6.0,12569555,lib,136.41,62.35,2.188,both_built
2255,coarsetime,0.1.37,12563051,lib,13.63,18.76,0.727,both_built
2256,libp2p-metrics,0.17.0,12542463,lib,144.2,125.58,1.148,both_built
2257,gdkwayland-sys,0.18.2,12530164,lib,35.84,50.37,0.712,both_built
2258,pyo3-log,0.13.3,12513652,lib,67.73,60.57,1.118,both_built
2259,string,0.3.1,12505396,lib,8.08,2.48,3.258,both_built
2260,tokio-tar,0.3.1,12495561,lib,53.6,44.53,1.204,both_built
2261,async_io_stream,0.3.3,12489073,lib,21.25,86.79,0.245,both_built
2262,pairing,0.24.0-pre.0,12487579,lib,44.48,30.22,1.472,both_built
2263,mysql_common,0.37.1,12479722,lib,81.8,38.23,2.14,both_built
2264,glutin-winit,0.5.0,12474778,lib,133.64,128.17,1.043,both_built
2265,fontconfig-parser,0.5.8,12457412,lib,10.9,5.33,2.045,both_built
2266,uaparser,0.6.4,12417580,lib,57.49,24.17,2.379,both_built
2267,ed25519-compact,2.2.0,12411732,lib,9.35,13.35,0.7,both_built
2268,rpds,1.2.0,12409983,lib,7.32,5.74,1.275,both_built
2269,sysctl,0.7.1,12399628,lib,16.61,10.09,1.646,both_built
2270,safetensors,0.7.0,12389840,lib,55.48,64.47,0.861,both_built
2271,wasmtime-jit,17.0.3,12379369,lib,55.2,85.42,0.646,both_built
2272,blake2-rfc,0.2.18,12370882,lib,15.43,10.32,1.495,both_built
2273,newline-converter,0.3.0,12359664,lib,7.5,6.47,1.159,both_built
2274,yaml-merge-keys,0.8.2,12356632,lib,31.22,18.07,1.728,both_built
2275,argh_shared,0.1.19,12351967,lib,2.14,0.7,3.057,both_built
2276,argh,0.1.19,12344641,lib,21.73,12.83,1.694,both_built
2277,sptr,0.3.2,12343947,lib,16.77,0.21,79.857,both_built
2278,bv,0.11.1,12339981,lib,7.15,3.95,1.81,both_built
2279,ct-logs,0.9.0,12337796,lib,12.71,17.21,0.739,both_built
2280,wasmtime-jit-debug,24.0.7,12332833,lib,10.67,33.25,0.321,both_built
2281,argh_derive,0.1.19,12331573,lib,9.66,5.24,1.844,both_built
2282,libp2p-kad,0.48.0,12330214,lib,124.55,148.45,0.839,both_built
2283,tantivy,0.26.1,12318171,lib,118.32,201.71,0.587,both_built
2284,skeptic,0.13.7,12310285,lib,81.15,60.49,1.342,both_built
2285,im-rc,15.1.0,12308802,lib,21.51,17.49,1.23,both_built
2286,yada,0.5.1,12280924,lib,8.07,0.53,15.226,both_built
2287,protoc-gen-prost,0.5.0,12249237,bin,39.6,37.32,1.061,both_built
2288,rust_decimal_macros,1.40.0,12243502,lib,7.75,26.3,0.295,both_built
2289,objc_id,0.1.1,12236711,lib,11.4,12.04,0.947,both_built
2290,subtle-ng,2.5.0,12229996,lib,16.14,0.26,62.077,both_built
2291,rustfix,0.9.5,12224201,lib,25.61,31.48,0.814,both_built
