rank,name,version,downloads,kind,baseline_build_secs,slicer_build_secs,speedup,status
2461,bitcoin,0.31.3,10452961,lib,43.96,28.0,1.57,both_built
2462,tonic-web,0.14.5,10449791,lib,38.08,41.91,0.909,both_built
2463,objc2-core-location,0.3.2,10436047,lib,1.12,0,0,baseline_failed
2464,javascriptcore-rs,1.1.2,10431914,lib,64.48,94.01,0.686,both_built
2465,mockall_double,0.3.1,10428500,lib,18.64,16.1,1.158,both_built
2466,readable,0.16.0,10427546,lib,56.35,47.39,1.189,both_built
2467,streaming-decompression,0.1.2,10416603,lib,5.67,1.23,4.61,both_built
2468,objc2-user-notifications,0.3.2,10409508,lib,0.98,0,0,baseline_failed
2469,bip39,2.2.2,10403616,lib,10.53,20.68,0.509,both_built
2470,line-wrap,0.2.0,10399438,lib,17.4,0.19,91.579,both_built
2471,softbuffer,0.4.8,10380778,lib,115.66,157.82,0.733,both_built
2472,opentelemetry-prometheus,0.31.0,10373648,lib,135.37,104.12,1.3,both_built
2473,roff,1.1.1,10354143,lib,2.98,0.44,6.773,both_built
2474,cortex-m,0.7.7,10346679,lib,11.1,5.6,1.982,both_built
2475,polars-io,0.53.0,10343054,,,,,not_run
2476,core-text,21.0.0,10342112,lib,2.04,0,0,baseline_failed
2477,nom-supreme,0.8.0,10339176,lib,16.18,5.12,3.16,both_built
2478,macaddr,1.0.1,10337626,lib,2.39,0.39,6.128,both_built
2479,gix-mailmap,0.32.1,10336083,lib,38.93,21.05,1.849,both_built
2480,guppy-workspace-hack,0.1.0,10335584,lib,6.25,0.85,7.353,both_built
2481,nichi,0.5.1,10323578,lib,36.29,25.84,1.404,both_built
2482,bb8-redis,0.26.0,10321152,lib,75.94,82.55,0.92,both_built
2483,polars,0.53.0,10315732,,,,,not_run
2484,bitvec-nom2,0.2.1,10313030,lib,11.07,9.05,1.223,both_built
2485,minicov,0.3.8,10312471,lib,5.77,3.73,1.547,both_built
2486,base58,0.2.0,10311856,lib,2.42,1.14,2.123,both_built
2487,nested,0.1.1,10310451,lib,1.26,0.41,3.073,both_built
2488,mp4,0.14.0,10308278,lib,62.97,63.8,0.987,both_built
2489,secret-service,5.1.0,10290346,lib,3.15,0,0,baseline_failed
2490,cargo-config2,0.1.44,10279419,lib,27.36,32.72,0.836,both_built
2491,environmental,1.1.4,10279123,lib,2.26,0.18,12.556,both_built
2492,rouille,3.6.2,10275876,lib,17.39,0,0,baseline_failed
2493,brownstone,3.0.0,10272006,lib,28.57,4.51,6.335,both_built
2494,clap-num,1.2.0,10225284,lib,7.09,9.18,0.772,both_built
2495,async-compat,0.2.5,10223681,lib,37.28,33.2,1.123,both_built
2496,cadence-macros,1.8.0,10216042,lib,20.59,8.13,2.533,both_built
2497,alloy-eip2930,0.2.3,10211652,lib,22.6,40.79,0.554,both_built
2498,range-set,0.1.0,10207861,lib,8.49,7.56,1.123,both_built
2499,alloca,0.4.0,10200627,bin,10.46,23.72,0.441,both_built
2500,polars-lazy,0.53.0,10199033,,,,,not_run
2501,devise_codegen,0.4.2,10197024,lib,27.96,16.73,1.671,both_built
2502,ppmd-rust,1.4.0,10196104,lib,5.01,0.59,8.492,both_built
2503,aws_lambda_events,1.1.3,10195097,lib,56.67,92.83,0.61,both_built
2504,devise_core,0.4.2,10187854,lib,43.27,24.93,1.736,both_built
2505,file-per-thread-logger,0.2.0,10186744,lib,16.09,11.29,1.425,both_built
2506,pulp,0.22.2,10184060,lib,24.71,18.75,1.318,both_built
2507,devise,0.4.2,10183107,lib,44.42,29.97,1.482,both_built
2508,accesskit_consumer,0.35.0,10171364,lib,9.44,7.76,1.216,both_built
2509,fluent-langneg,0.13.1,10165143,lib,34.11,25.65,1.33,both_built
2510,polars-ops,0.53.0,10147529,,,,,not_run
2511,defmt,1.0.1,10147298,lib,34.9,13.04,2.676,both_built
2512,eventsource-stream,0.2.3,10143798,lib,13.75,19.53,0.704,both_built
2513,domain,0.12.0,10132318,lib,35.66,25.24,1.413,both_built
2514,coins-core,0.13.0,10128449,lib,14.92,35.24,0.423,both_built
2515,coins-bip32,0.13.0,10126687,lib,36.31,41.68,0.871,both_built
2516,prometheus-parse,0.2.5,10122244,lib,44.57,16.4,2.718,both_built
2517,orion,0.17.14,10112735,lib,104.09,48.78,2.134,both_built
2518,fluent-syntax,0.12.0,10110725,bin,11.58,25.26,0.458,both_built
2519,coins-bip39,0.13.0,10108027,lib,48.69,30.19,1.613,both_built
2520,svg_fmt,0.4.5,10104062,lib,4.9,0.42,11.667,both_built
2521,fluent-bundle,0.16.0,10091696,lib,25.57,16.73,1.528,both_built
2522,polkavm-derive-impl,0.33.0,10081675,lib,24.74,35.44,0.698,both_built
2523,http-auth,0.1.10,10072127,lib,61.4,60.18,1.02,both_built
2524,cap-std,4.0.2,10060873,lib,4.9,7.12,0.688,both_built
2525,intl_pluralrules,7.0.2,10054401,lib,23.43,20.02,1.17,both_built
2526,bcrypt-pbkdf,0.11.0,10052144,lib,9.34,15.84,0.59,both_built
2527,thrift_codec,0.3.2,10048461,lib,20.99,22.34,0.94,both_built
2528,trie-root,0.18.0,10039984,lib,2.94,1.27,2.315,both_built
2529,polars-time,0.53.0,10035644,,,,,not_run
2530,file-id,0.2.3,10027443,bin,1.19,0.43,2.767,both_built
2531,protox,0.9.1,10008238,bin,50.44,43.49,1.16,both_built
2532,btm,2.0.0,9980376,bin,37.97,31.4,1.209,both_built
2533,atomic-take,1.1.0,9978850,lib,1.19,0.2,5.95,both_built
2534,polkavm-derive,0.33.0,9973139,lib,32.38,19.52,1.659,both_built
2535,now,0.1.3,9969728,lib,47.64,14.37,3.315,both_built
2536,actix-files,0.6.10,9962275,lib,64.91,112.43,0.577,both_built
2537,faststr,0.2.34,9955361,lib,16.35,2.25,7.267,both_built
2538,polars-plan,0.53.0,9951453,,,,,not_run
2539,human_format,1.2.1,9942795,lib,3.78,0.54,7.0,both_built
2540,canonical-path,2.0.2,9940822,lib,1.84,0,0,baseline_failed
2541,protox-parse,0.9.0,9924867,lib,40.74,23.93,1.702,both_built
2542,lsp-server,0.7.9,9919181,lib,22.04,21.22,1.039,both_built
2543,realfft,3.5.0,9910651,lib,44.68,38.68,1.155,both_built
2544,polars-row,0.53.0,9904005,lib,142.92,161.08,0.887,both_built
2545,cargo-nextest,0.9.133,9896526,bin,217.2,219.66,0.989,both_built
2546,notify-debouncer-full,0.8.0-rc.1,9881980,lib,33.15,15.68,2.114,both_built
2547,pmutil,0.6.1,9878486,lib,18.35,26.9,0.682,both_built
2548,swc_allocator,4.0.1,9878219,lib,11.42,3.67,3.112,both_built
2549,octseq,0.6.1,9874761,lib,16.75,0.4,41.875,both_built
2550,hash_hasher,2.0.4,9869711,lib,4.21,0.18,23.389,both_built
2551,futures-locks,0.7.1,9848624,lib,34.38,22.04,1.56,both_built
2552,rustc-stable-hash,0.1.2,9844709,lib,1.23,0.37,3.324,both_built
2553,read-fonts,0.39.2,9843737,lib,72.77,42.35,1.718,both_built
2554,argminmax,0.6.3,9824689,lib,17.69,8.38,2.111,both_built
2555,sigchld,0.2.4,9801031,lib,31.44,8.36,3.761,both_built
2556,biscuit-auth,6.0.0,9789968,lib,45.34,57.22,0.792,both_built
2557,pyo3-async-runtimes-macros,0.28.0,9775022,lib,12.23,21.58,0.567,both_built
2558,alloy-trie,0.9.5,9771674,lib,14.47,35.47,0.408,both_built
2559,rlp-derive,0.2.0,9765873,lib,17.03,11.82,1.441,both_built
2560,packed_struct,0.10.1,9762315,lib,63.19,72.53,0.871,both_built
2561,clap_mangen,0.3.0,9761720,lib,56.01,10.37,5.401,both_built
2562,intl-memoizer,0.5.3,9755095,lib,15.82,13.89,1.139,both_built
2563,packed_struct_codegen,0.10.1,9747095,lib,49.06,27.56,1.78,both_built
2564,termion,4.0.6,9743944,lib,12.91,4.01,3.219,both_built
2565,arrow-flight,58.1.0,9738876,bin,147.95,154.86,0.955,both_built
2566,internment,0.8.6,9728683,lib,8.68,4.1,2.117,both_built
2567,tracing-tree,0.4.1,9728475,lib,29.52,18.57,1.59,both_built
2568,biscuit-parser,0.2.0,9728366,lib,31.56,13.92,2.267,both_built
2569,mock_instant,0.6.0,9702060,lib,3.11,0.41,7.585,both_built
2570,py_literal,0.4.0,9701991,lib,5.52,0,0,baseline_failed
2571,alloy-rpc-types-eth,2.0.1,9699397,lib,60.1,56.34,1.067,both_built
2572,biscuit-quote,0.3.0,9698714,lib,27.6,24.06,1.147,both_built
2573,rasn-pkix,0.28.13,9697544,lib,106.14,66.64,1.593,both_built
2574,noisy_float,0.2.1,9696782,lib,6.47,4.73,1.368,both_built
2575,pix,0.15.0,9690597,lib,7.43,1.56,4.763,both_built
2576,nybbles,0.4.8,9688241,lib,22.45,9.27,2.422,both_built
2577,dyn-clonable-impl,0.9.2,9685937,lib,22.09,7.78,2.839,both_built
2578,dyn-clonable,0.9.2,9684370,lib,20.61,29.21,0.706,both_built
2579,cgmath,0.18.0,9676927,lib,18.74,6.59,2.844,both_built
2580,png_pong,0.11.0,9653103,lib,159.99,52.13,3.069,both_built
2581,protoc-gen-tonic,0.5.0,9634254,bin,50.46,40.73,1.239,both_built
2582,polkavm-derive-impl-macro,0.33.0,9627690,lib,11.53,8.67,1.33,both_built
2583,vcell,0.1.3,9627368,lib,3.2,0.15,21.333,both_built
2584,amq-protocol-types,10.2.0,9612985,lib,22.02,15.29,1.44,both_built
2585,ss58-registry,1.51.0,9609354,lib,62.31,25.16,2.477,both_built
2586,extfmt,0.2.0,9606768,lib,0.99,0.48,2.062,both_built
2587,amq-protocol,10.2.0,9594383,lib,68.44,67.13,1.02,both_built
2588,pythonize,0.28.0,9590554,lib,40.91,26.83,1.525,both_built
2589,managed,0.8.0,9585915,lib,1.64,0.36,4.556,both_built
2590,valuable-derive,0.1.1,9580001,lib,26.96,12.34,2.185,both_built
2591,aws-sdk-sqs,1.98.0,9576671,lib,114.22,133.96,0.853,both_built
2592,wepoll-ffi,0.1.2,9563643,lib,4.79,0,0,baseline_failed
2593,markup5ever_rcdom,0.38.0+unofficial,9546219,,,,,not_run
2594,mirai-annotations,1.12.0,9544523,lib,2.74,0.19,14.421,both_built
2595,bounded-collections,0.3.2,9540338,lib,63.54,38.81,1.637,both_built
2596,dyn-stack,0.13.2,9528409,lib,12.98,5.26,2.468,both_built
2597,datafusion-catalog,53.1.0,9528021,,,,,not_run
2598,result,1.0.0,9527987,lib,5.77,0.18,32.056,both_built
2599,expander,2.2.1,9524948,lib,41.64,37.02,1.125,both_built
2600,windows-version,0.1.7,9516235,lib,9.2,4.14,2.222,both_built
2601,konst,0.3.17,9515943,lib,75.9,21.54,3.524,both_built
2602,datafusion-physical-optimizer,53.1.0,9512503,,,,,not_run
2603,tabwriter,1.4.1,9511489,lib,7.1,2.79,2.545,both_built
2604,img-parts,0.4.0,9510995,lib,9.76,5.91,1.651,both_built
2605,common-path,1.0.0,9489979,lib,11.62,0.8,14.525,both_built
2606,frunk_core,0.4.4,9489920,lib,4.33,2.65,1.634,both_built
2607,serde_ini,0.2.0,9479348,lib,19.16,54.06,0.354,both_built
2608,async-scoped,0.9.0,9473067,lib,13.57,18.98,0.715,both_built
2609,httptest,0.16.4,9445367,lib,92.48,82.77,1.117,both_built
2610,rasn-ocsp,0.28.13,9429739,lib,154.88,97.55,1.588,both_built
2611,goauth,0.17.0,9426453,lib,129.51,99.47,1.302,both_built
2612,webview2-com-sys,0.39.1,9418656,lib,4.63,0,0,baseline_failed
2613,tzdb,0.7.3,9415767,lib,30.83,47.85,0.644,both_built
2614,function_name,0.3.0,9397337,lib,2.24,0.38,5.895,both_built
2615,concolor-query,0.3.3,9394323,lib,2.94,0.6,4.9,both_built
2616,google-cloud-token,0.1.2,9392902,lib,22.01,30.86,0.713,both_built
2617,alloy-network-primitives,2.0.1,9388369,lib,43.38,51.4,0.844,both_built
2618,pcap-file,3.0.0-rc1,9378401,lib,41.48,62.31,0.666,both_built
2619,kamadak-exif,0.6.1,9371395,lib,6.16,4.9,1.257,both_built
2620,function_name-proc-macro,0.3.0,9369456,lib,0.68,0.33,2.061,both_built
2621,wio,0.2.2,9366403,lib,12.33,3.01,4.096,both_built
2622,v_htmlescape,0.17.0,9358213,lib,10.66,5.94,1.795,both_built
2623,smpl_jwt,0.9.0,9357208,lib,58.46,74.6,0.784,both_built
2624,async-generic,1.1.2,9346995,lib,7.64,5.79,1.32,both_built
2625,frunk,0.4.4,9343769,lib,11.84,8.88,1.333,both_built
2626,macro-string,0.2.0,9329944,lib,11.44,40.02,0.286,both_built
2627,enum-primitive-derive,0.3.0,9320293,lib,8.39,9.65,0.869,both_built
2628,uom,0.38.0,9315309,lib,69.96,29.47,2.374,both_built
2629,typeable,0.1.2,9312999,lib,3.42,0.19,18.0,both_built
2630,mutate_once,0.1.2,9308855,lib,28.07,0.2,140.35,both_built
2631,frunk_derives,0.4.4,9308492,lib,7.58,17.14,0.442,both_built
2632,sfv,0.14.0,9308459,lib,33.3,35.27,0.944,both_built
2633,cap-fs-ext,4.0.2,9300476,lib,20.72,17.27,1.2,both_built
2634,cap-time-ext,4.0.2,9294784,lib,8.24,10.76,0.766,both_built
2635,y4m,0.8.0,9292752,lib,4.04,0.37,10.919,both_built
2636,atree,0.5.4,9289445,lib,1.56,0.4,3.9,both_built
2637,igd-next,0.17.0,9286789,lib,108.78,79.97,1.36,both_built
2638,jfifdump,0.6.0,9285593,lib,1.52,0.44,3.455,both_built
2639,compare,0.1.0,9280908,lib,11.42,0.63,18.127,both_built
2640,reflink-copy,0.1.29,9279764,lib,7.8,28.43,0.274,both_built
2641,frunk_proc_macro_helpers,0.1.4,9277945,lib,21.05,12.86,1.637,both_built
2642,webview2-com,0.39.1,9268300,lib,29.78,0,0,baseline_failed
2643,cap-rand,4.0.2,9261355,lib,12.56,24.35,0.516,both_built
2644,alloy-json-rpc,2.0.1,9260790,lib,41.82,19.66,2.127,both_built
2645,notify-debouncer-mini,0.7.0,9259781,lib,48.17,31.11,1.548,both_built
2646,human-panic,2.0.8,9251493,lib,20.78,56.33,0.369,both_built
2647,file-guard,0.2.0,9246736,lib,3.91,4.31,0.907,both_built
2648,mint,0.5.9,9231559,lib,6.97,0.54,12.907,both_built
2649,alloy-signer,2.0.1,9229503,lib,27.52,18.69,1.472,both_built
2650,fastbloom,0.17.0,9227664,lib,16.82,49.42,0.34,both_built
2651,abscissa_derive,0.9.0,9227201,lib,23.1,10.83,2.133,both_built
2652,shared_library,0.1.9,9225404,lib,34.84,6.17,5.647,both_built
2653,abscissa_core,0.9.0,9216654,lib,32.23,37.14,0.868,both_built
2654,derive-into-owned,0.2.0,9205593,lib,20.9,17.71,1.18,both_built
2655,glob-match,0.2.1,9200707,lib,2.48,0.27,9.185,both_built
2656,io-kit-sys,0.5.0,9199737,lib,0.32,0,0,baseline_failed
2657,alloy-network,2.0.1,9198599,lib,77.11,52.27,1.475,both_built
2658,tracing-bunyan-formatter,0.3.10,9187832,lib,47.52,60.02,0.792,both_built
2659,enr,0.13.0,9177312,lib,121.71,26.2,4.645,both_built
2660,font-types,0.11.3,9165277,lib,1.28,0.62,2.065,both_built
2661,alloy-chains,0.2.34,9163643,lib,28.89,14.01,2.062,both_built
2662,spl-associated-token-account,8.0.0,9157518,,,,,not_run
2663,lapin,4.5.0,9157048,lib,106.93,140.13,0.763,both_built
2664,crc-any,2.5.0,9154048,lib,7.74,1.36,5.691,both_built
2665,opendal,0.55.0,9152268,,,,,not_run
2666,zxcvbn,3.1.1,9151087,lib,93.7,26.66,3.515,both_built
2667,system-interface,0.27.3,9149268,lib,29.24,18.96,1.542,both_built
2668,aesni,0.99.99,9148495,lib,0.67,0,0,baseline_failed
2669,amq-protocol-uri,10.2.0,9127113,lib,31.62,32.01,0.988,both_built
,ash-0.38.0+1.3.281,1.3.281,,,,,,error_tarball_missing
,bzip2-sys-0.1.13+1.0.8,1.0.8,,,,,,error_tarball_missing
,curl-sys-0.4.87+curl,8.19.0,,lib,333.27,36.48,9.136,both_built
,jemalloc-sys-0.5.4+5.3.0-patched,5.3.0-patched,,,,,,error_tarball_missing
,libgit2-sys-0.18.3+1.9.2,1.9.2,,,,,,error_tarball_missing
,libnghttp2-sys-0.1.13+1.68.1,1.68.1,,,,,,error_tarball_missing
,librocksdb-sys-0.17.3+10.4.2,10.4.2,,,,,,error_tarball_missing
,lz4-sys-1.11.1+lz4,1.10.0,,lib,27.12,16.93,1.602,both_built
,openssl-src-300.6.0+3.6.2,3.6.2,,,,,,error_tarball_missing
,rdkafka-sys-4.10.0+2.12.1,2.12.1,,,,,,error_tarball_missing
,spirv-0.4.0+sdk,1.4.341.0,,lib,49.66,10.58,4.694,both_built
,tikv-jemalloc-sys-0.6.1+5.3.0-1-ge13ca993e8ccb9ba9847cc330696e02839f328f7,5.3.0-1-ge13ca993e8ccb9ba9847cc330696e02839f328f7,,,,,,error_tarball_missing
,toml-1.1.2+spec,1.1.0,,lib,34.07,13.68,2.49,both_built
,toml_datetime-1.1.1+spec,1.1.0,,lib,4.41,1.11,3.973,both_built
,toml_edit-0.25.11+spec,1.1.0,,lib,32.97,11.85,2.782,both_built
,toml_parser-1.1.2+spec,1.1.0,,lib,8.97,4.41,2.034,both_built
,toml_writer-1.1.1+spec,1.1.0,,lib,3.76,0.41,9.171,both_built
,wasi-0.14.7+wasi,0.2.4,,lib,5.66,4.88,1.16,both_built
,wasip2-1.0.3+wasi,0.2.9,,lib,23.53,8.09,2.909,both_built
,wasip3-0.6.0+wasi,0.3.0-rc-2026-03-15,,lib,23.69,5.1,4.645,both_built
,zstd-sys-2.0.16+zstd.1.5.7,1.5.7,,,,,,error_tarball_missing
